x,world-population,terrestrial-biosphere-degradation,domesticated-land,coastal-nitrogen,tropical-forest-lost,shrimp-aquaculture,ocean-acidification,marine-fish-capture,stratospheric-ozone,surface-temperature,nitrous-dioxide,methane,carbon-dioxide,international-tourism,telecommunications,transportation,fertilizer-consumption,paper-production,water-use,large-dam,primary-energy-use,foreign-direct-investement,real-gdp,urban-population
0.138628,,,,,,,,,,,,,0.070317,,,,,,,,,,,
0.138692,,,,0.044553,,,,,,,,,,,,,,,,,,,,
0.138968,,,0.18657,,,,,,,,,,,,,,,,,,,,,
0.139925,,,,,0.057124,,,,,,,,,,,,,,,,,,,
0.141071,,0.104256,,,,,,,,,,,,,,,,,,,,,,
0.142702,,,,,,,,,,,0.20983,,,,,,,,,,,,,
0.143807,,,,,,,,,,,,,,,,,,,,,,,,0.021316
0.144226,0.10615,,,,,,,,,,,,,,,,,,,,,,,
0.147576,,,,,,,,,,,,,,,,,,,,,0.030752,,,
0.153696,,,,,,,,,,,,0.110574,,,,,,,,,,,,
0.153859,,,,0.04585,,,,,,,,,,,,,,,,,,,,
0.154131,,,0.189123,,,,,,,,,,,,,,,,,,,,,
0.154429,,,,,,,,,,,,,0.070359,,,,,,,,,,,
0.15509,,,,,0.059049,,,,,,,,,,,,,,,,,,,
0.156237,,0.105553,,,,,,,,,,,,,,,,,,,,,,
0.157251,,,,,,,,,,,0.20547,,,,,,,,,,,,,
0.159609,,,,,,,,,,,,,,,,,,,,,,,,0.021358
0.160023,0.108077,,,,,,,,,,,,,,,,,,,,,,,
0.163376,,,,,,,,,,,,,,,,,,,,,0.031422,,,
0.169023,,,,0.047775,,,,,,,,,,,,,,,,,,,,
0.169295,,,0.191677,,,,,,,,,,,,,,,,,,,,,
0.169498,,,,,,,,,,,,0.110616,,,,,,,,,,,,
0.170231,,,,,,,,,,,,,0.070401,,,,,,,,,,,
0.170255,,,,,0.060975,,,,,,,,,,,,,,,,,,,
0.172036,,0.106852,,,,,,,,,,,,,,,,,,,,,,
0.17243,,,,,,,,,,,0.20174,,,,,,,,,,,,,
0.175188,0.110002,,,,,,,,,,,,,,,,,,,,,,,
0.17541,,,,,,,,,,,,,,,,,,,,,,,,0.0214
0.179176,,,,,,,,,,,,,,,,,,,,,0.032093,,,
0.184456,,,0.19486,,,,,,,,,,,,,,,,,,,,,
0.184822,,,,0.049074,,,,,,,,,,,,,,,,,,,,
0.1853,,,,,,,,,,,,0.110658,,,,,,,,,,,,
0.185394,,,,,,,,,,,,,0.072955,,,,,,,,,,,
0.186051,,,,,0.062902,,,,,,,,,,,,,,,,,,,
0.186977,,,,,,,,,,,0.198008,,,,,,,,,,,,,
0.187202,,0.108149,,,,,,,,,,,,,,,,,,,,,,
0.190354,0.111299,,,,,,,,,,,,,,,,,,,,,,,
0.191212,,,,,,,,,,,,,,,,,,,,,,,,0.021442
0.194977,,,,,,,,,,,,,,,,,,,,,0.032135,,,
0.199619,,,0.197413,,,,,,,,,,,,,,,,,,,,,
